,Amarillo,Ariana,Azacca,BRU-1,Calista,Cascade,Centennial,Challenger,Citra,Columbus/Tomahawk/Zeus,East Kent Goldings,El Dorado,Ella,Fuggle,Galaxy,Hallertau Mittelfrueh,Hallertau Tradition,Idaho 7,Kohatu,Krush (HBC 586),Lemondrop,Liberty,Loral,Lotus,Magnum,Mosaic,Motueka,Nectaron,Nelson Sauvin,Perle,Progress,Rakau,Riwaka,Saaz,Sabro,Saphir,Simcoe,Sorachi Ace,Strata,Strisselspalt,Styrian Goldings,Tettnang / Tettnanger,Topaz,Triumph,Chinook,Cluster,Mt Hood,Northern Brewer,Nugget,Warrior,Willamette
Mosaic,0.426,0.557,0.580,0.372,0.129,0.072,0.232,0.000,0.334,0.236,0.000,0.098,0.268,0.000,0.365,0.000,0.000,0.623,0.514,0.360,0.000,0.000,0.025,0.214,0.000,1.000,0.232,0.277,0.121,0.000,0.000,0.278,0.244,0.000,0.183,0.000,0.806,0.000,0.701,0.000,0.000,0.000,0.351,0.258,0.281,0.310,0.000,0.000,0.000,0.000,0.000
Motueka,0.683,0.378,0.706,0.425,0.000,0.425,0.391,0.033,0.758,0.000,0.000,0.000,0.123,0.000,0.633,0.000,0.000,0.477,0.682,0.620,0.518,0.000,0.182,0.624,0.000,0.232,1.000,0.413,0.063,0.000,0.000,0.000,0.822,0.000,0.422,0.133,0.222,0.560,0.277,0.000,0.000,0.000,0.090,0.702,0.241,0.000,0.000,0.000,0.000,0.000,0.000
Nectaron,0.448,0.162,0.611,0.824,0.649,0.000,0.000,0.000,0.790,0.000,0.000,0.457,0.220,0.000,0.847,0.000,0.000,0.607,0.372,0.838,0.000,0.000,0.000,0.457,0.000,0.277,0.413,1.000,0.233,0.000,0.000,0.629,0.621,0.000,0.416,0.000,0.210,0.000,0.323,0.000,0.000,0.000,0.189,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nelson Sauvin,0.001,0.135,0.366,0.344,0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.154,0.225,0.000,0.291,0.000,0.000,0.260,0.093,0.219,0.000,0.000,0.000,0.079,0.000,0.121,0.063,0.233,1.000,0.000,0.000,0.098,0.030,0.000,0.124,0.000,0.120,0.000,0.160,0.000,0.000,0.000,0.201,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Perle,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.599,0.000,0.000,0.488,0.000,0.591,0.104,0.000,0.760,0.833,0.000,0.000,0.000,0.128,0.590,0.610,0.000,0.136,0.000,0.000,0.000,0.000,1.000,0.590,0.000,0.000,0.484,0.000,0.480,0.000,0.000,0.000,0.561,0.436,0.713,0.125,0.000,0.013,0.410,0.695,0.250,0.389,0.000,0.239
Progress,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.643,0.000,0.000,0.541,0.000,0.146,0.752,0.000,0.497,0.648,0.000,0.000,0.000,0.079,0.061,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.590,1.000,0.000,0.000,0.433,0.000,0.000,0.000,0.000,0.000,0.133,0.477,0.358,0.187,0.000,0.000,0.446,0.424,0.494,0.289,0.000,0.621
Rakau,0.296,0.000,0.378,0.651,0.547,0.000,0.000,0.000,0.257,0.034,0.000,0.457,0.093,0.000,0.599,0.000,0.000,0.671,0.392,0.341,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.629,0.098,0.000,0.000,1.000,0.000,0.000,0.212,0.000,0.451,0.000,0.059,0.000,0.000,0.000,0.358,0.549,0.175,0.000,0.000,0.000,0.000,0.000,0.000
Riwaka,0.607,0.324,0.678,0.421,0.019,0.217,0.178,0.000,0.882,0.000,0.000,0.000,0.000,0.000,0.612,0.000,0.000,0.406,0.632,0.780,0.304,0.000,0.000,0.670,0.000,0.244,0.822,0.621,0.030,0.000,0.000,0.000,1.000,0.000,0.340,0.057,0.169,0.172,0.290,0.000,0.000,0.000,0.000,0.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saaz,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.513,0.000,0.000,0.601,0.000,0.236,0.415,0.000,0.685,0.730,0.000,0.000,0.000,0.000,0.471,0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.433,0.000,0.000,1.000,0.000,0.446,0.000,0.000,0.000,0.377,0.787,0.717,0.000,0.000,0.000,0.241,0.829,0.144,0.051,0.000,0.550
Sabro,0.429,0.362,0.575,0.549,0.000,0.085,0.157,0.000,0.546,0.000,0.000,0.251,0.170,0.000,0.596,0.000,0.000,0.399,0.312,0.518,0.000,0.000,0.015,0.814,0.000,0.183,0.422,0.416,0.124,0.000,0.000,0.212,0.340,0.000,1.000,0.000,0.219,0.604,0.225,0.000,0.000,0.000,0.150,0.550,0.105,0.000,0.000,0.000,0.000,0.040,0.000
